상호명,도로명주소,위도,경도,소분류,거리m
크리미앤소프트퀸비,인천광역시 미추홀구 인하로 61,37.451760310615,126.655163211523,카페,251
공차인천,인천광역시 미추홀구 인하로 63,37.4517158211824,126.655355543557,카페,254
스타벅스,인천광역시 미추홀구 인하로 59,37.451849882582,126.654981973842,카페,254
인하골든스터디카페,인천광역시 미추홀구 인하로 59,37.451849882582,126.654981973842,독서실/스터디 카페,254
카페지코,인천광역시 미추홀구 인하로 57,37.4518944704316,126.654823545778,카페,255
이디야,인천광역시 미추홀구 인하로 55,37.451956681653,126.654529416452,카페,255
뭉크,인천광역시 미추홀구 인하로 63-1,37.4516891207827,126.655468682373,카페,256
카페삼층,인천광역시 미추홀구 인하로 53,37.4520283979526,126.654404768116,카페,261
관동,인천광역시 미추홀구 인하로67번길 5-7,37.4517528492925,126.655694422889,카페,273
고망고,인천광역시 미추홀구 인하로 69-1,37.4515557815976,126.656090882561,카페,277
블루포트,인천광역시 미추홀구 인하로 100,37.451452374212,126.651548114804,카페,291
그라찌에커피인하대점,인천광역시 미추홀구 인하로 100,37.451452374212,126.651548114804,카페,291
컴포즈커피인하대문화,인천광역시 미추홀구 인하로 73,37.4514577894116,126.656475585483,카페,293
투썸플레이스인천인하대,인천광역시 미추홀구 인하로 75,37.4513683792824,126.656713327618,카페,303
빈스,인천광역시 미추홀구 인하로 75-1,37.4513506875499,126.656826424275,카페,310
오이아OIA,인천광역시 미추홀구 인하로 75-1,37.4513506875499,126.656826424275,카페,310
달콤하루,인천광역시 미추홀구 인하로 75-1,37.4513506875499,126.656826424275,카페,310
콘레드커피,인천광역시 미추홀구 인하로 77,37.4513059657876,126.656939644325,카페,315
코그노센티,인천광역시 미추홀구 경인남길 26,37.4525426269927,126.654628437385,독서실/스터디 카페,321
모모플레이스,인천광역시 미추홀구 인하로67번길 6-31,37.4515311495142,126.656916012696,카페,328
더즈오브커피,인천광역시 미추홀구 소성로 16,37.4474879201432,126.651543901208,카페,328
노노레타,인천광역시 미추홀구 경인남길30번길 42,37.4517468309819,126.656722899719,카페,331
어벤더치,인천광역시 미추홀구 인하로77번길 7,37.4514954376421,126.657029191828,카페,334
어썸,인천광역시 미추홀구 인하로77번길 7,37.4514954376421,126.657029191828,카페,334
매머드익스프레스,인천광역시 미추홀구 인하로77번길 6,37.4513337499427,126.657199453733,카페,336
열공스터디카페,인천광역시 미추홀구 인하로 81,37.4512260235391,126.657335564088,독서실/스터디 카페,340
롬버스커피,인천광역시 미추홀구 인하로47번길 29,37.4525541109565,126.655476016668,카페,343
고양이자리,인천광역시 미추홀구 경인남길30번길 50,37.4516397283962,126.657073739518,카페,347
메가엠지씨커피,인천광역시 미추홀구 경인남길30번길 50,37.4516397283962,126.657073739518,카페,347
설빙,인천광역시 미추홀구 인하로77번길 12,37.4515683370133,126.65731139932,카페,359
설빙,인천광역시 미추홀구 인하로77번길 12,37.4515683370133,126.65731139932,카페,359
페이브커피,인천광역시 미추홀구 인하로77번길 6-11,37.4513976061791,126.657470400432,카페,360
카페손씨,인천광역시 미추홀구 경인남길30번길 43,37.4520355111338,126.656845898981,카페,361
인하메이트스터디카페,인천광역시 미추홀구 인하로 85,37.4510739346998,126.657709208661,독서실/스터디 카페,361
트리플에이커피인하,인천광역시 미추홀구 경인남길30번길 49,37.4518111146251,126.657140766995,카페,363
카페호,인천광역시 미추홀구 인하로67번길 24-8,37.4523857180092,126.656437436595,카페,368
아마스빈버블티,인천광역시 미추홀구 인하로 87,37.4510294083889,126.657890236075,카페,374
엑스엑스,인천광역시 미추홀구 경인남길30번길 53,37.4517487330854,126.657378386181,카페,375
훗카페,인천광역시 미추홀구 인하로77번길 6-25,37.4512996749201,126.657877703626,카페,386
리얼카페호다의방,인천광역시 미추홀구 인하로77번길 6-38,37.4511020114773,126.658070730117,카페,392
젊은공간,인천광역시 미추홀구 인하로77번길 18-1,37.4518662558261,126.657513470035,독서실/스터디 카페,393
공차홈플러스인하점,인천광역시 미추홀구 소성로 6,37.4470896137635,126.650912896081,카페,398
알케미스타,인천광역시 미추홀구 인하로47번길 47,37.4527548639645,126.656345333832,카페,398
이디아,인천광역시 미추홀구 소성로 6,37.4470896137635,126.650912896081,카페,398
와이제이레지던스,인천광역시 미추홀구 매소홀로271번길 33,37.4460714490088,126.653968838828,독서실/스터디 카페,403
더벤티,인천광역시 미추홀구 인하로77번길 25,37.4522983414429,126.65737587927,카페,415
투두스터디카페,인천광역시 미추홀구 인하로91번길 9,37.4512743120779,126.658454199188,독서실/스터디 카페,430
투두스터디카페,인천광역시 미추홀구 인하로91번길 9,37.4512743120779,126.658454199188,독서실/스터디 카페,430
리더스캠프,인천광역시 미추홀구 인하로77번길 29-8,37.4526135266409,126.657317932741,독서실/스터디 카페,437
빽다방,인천광역시 미추홀구 인하로77번길 29,37.4525508499967,126.657453839818,카페,440
닉스냅,인천광역시 미추홀구 인하로77번길 34-1,37.4525425931476,126.657713817956,카페,455
그린빈,인천광역시 미추홀구 독배로 311,37.4481475031949,126.649122407213,카페,464
트리플에이커피,인천광역시 미추홀구 독배로 311,37.4481475031949,126.649122407213,카페,464
