cafeId,crowdLevel,quietScore,restroomScore,outletLevel,smokingRoom,visitCount,note,reportedAt
4,2,3,3,many,none,two,자리 거의 없어요,2026-08-08T12:57:13.859856+09:00
4,2,3,4,many,none,solo,,2026-08-08T12:50:13.859856+09:00
4,3,2,3,many,none,three-four,2층도 만석,2026-08-08T12:42:13.859856+09:00
4,1,4,3,normal,none,two,,2026-08-08T11:22:13.859856+09:00
5,1,3,2,normal,none,solo,,2026-08-08T12:54:13.859856+09:00
5,1,3,3,normal,none,two,적당해요,2026-08-08T11:52:13.859856+09:00
6,3,3,4,many,none,five-plus,대기 3팀,2026-08-08T12:58:13.859856+09:00
6,3,2,4,many,none,three-four,,2026-08-08T12:47:13.859856+09:00
6,2,3,4,many,none,two,,2026-08-08T12:37:13.859856+09:00
7,0,4,3,many,none,solo,한산함,2026-08-08T12:52:13.859856+09:00
7,1,4,3,many,none,two,,2026-08-08T11:27:13.859856+09:00
